COMMONNAME,Minimum age at encounter,Banding date,Banding region,Age at banding,Sex,Encounter date,Encounter region,How bird and band were obtained,Condition of bird/band at encounter
Mew Gull,18 years 02 months,5/5/1962,Alaska,After Hatching Year,Unknown,8/12/1979,Alaska,Caught due to striking or being struck by: motor vehicle.,Dead/Removed
Mew Gull,10 years 11 months,5/7/1962,Alaska,After Hatching Year,Unknown,5/1/1972,Alaska,Found dead.,Dead/Removed
Ring-billed Gull,27 years 06 months,6/10/1984,New York,Local,Unknown,12/14/2011,New York,"Caught or found dead due to: control operations (roost bombing, gassing, avicides, wetting agents, etc.)",Dead/Removed
Ring-billed Gull,25 years 05 months,6/10/1984,New York,Local,Unknown,11/29/2009,New York,Sight record: band read by telescope or other means while bird was free.,Alive - Released/Left On Bird
Ring-billed Gull,25 years 01 months,6/24/1956,Ontario,Local,Unknown,7/28/1981,Ontario,Found dead.,Dead/Removed
Ring-billed Gull,21 years 00 months,12/10/1930,Michigan,Hatching Year,Unknown,6/12/1951,Michigan,Found dead.,Dead/Unknown
Ring-billed Gull,14 years 02 months,6/15/1964,Michigan,Local,Unknown,8/15/1978,Michigan,Found dead.,Dead/Removed
Ring-billed Gull,6 years 04 months,6/17/1972,Michigan,Local,Unknown,10/22/1978,Michigan,Shot.,Dead/Removed
Western Gull,33 years 11 months,6/22/1973,California,Local,Unknown,5/13/2007,California,Sight record: band read by telescope or other means while bird was free.,Alive - Released/Left On Bird
Western Gull,27 years 10 months,6/18/1944,California,Local,Unknown,4/25/1972,California,Found dead.,Dead/Removed
California Gull,28 years 03 months,5/27/1985,California,Local,Unknown,8/10/2013,California,Caught due to: injury,Alive - In Captivity/Left On Bird
California Gull,28 years 00 months,5/31/1983,California,Local,Unknown,5/16/2011,California,Sight record: band read by telescope or other means while bird was free.,Alive - Released/Left On Bird
California Gull,26 years 11 months,6/1/1984,California,Local,Unknown,5/24/2011,California,Sight record: band read by telescope or other means while bird was free.,Alive - Released/Left On Bird
California Gull,26 years 06 months,6/5/1983,California,Local,Unknown,12/15/2009,California,Sight record: band read by telescope or other means while bird was free.,Alive - Released/Left On Bird
California Gull,25 years 03 months,6/5/1983,California,Local,Unknown,9/12/2008,California,Sight record: band read by telescope or other means while bird was free.,Alive - Released/Left On Bird
California Gull,24 years 11 months,7/10/1970,Wyoming,Local,Unknown,5/1/1995,Wyoming,Found dead.,Dead/Removed
California Gull,17 years 10 months,7/1/1974,Wyoming,Local,Unknown,4/14/1992,Colorado,Found dead.,Dead/Unknown
California Gull,13 years 04 months,6/19/1965,California,Local,Unknown,10/26/1978,California,Found dead.,Dead/Removed
California Gull,13 years 04 months,6/18/1967,Montana,Local,Unknown,10/29/1980,Montana,Found dead.,Dead/Removed
California Gull,12 years 07 months,7/4/1962,Wyoming,Local,Unknown,01/99/1975,California,Found dead.,Dead/Removed
Herring Gull,29 years 03 months,6/28/1986,Wisconsin,Local,Unknown,9/20/2015,Michigan,Sight record: band read by telescope or other means while bird was free.,Alive - Released/Left On Bird
Herring Gull,28 years 01 months,6/23/1984,Wisconsin,Local,Unknown,7/16/2012,Illinois,"Caught or found dead due to: control operations (roost bombing, gassing, avicides, wetting agents, etc.)",Dead/Removed
Herring Gull,28 years 00 months,6/19/1959,Minnesota,Local,Unknown,06/43/1987,Minnesota,Caught by or due to: traps or snares OTHER THAN devices used to catch birds for banding.,Dead/Removed
Herring Gull,27 years 03 months,7/19/1949,New Brunswick,After Hatching Year,Unknown,9/7/1975,Maryland,Caught due to: injury,Dead/Removed
Herring Gull,25 years 03 months,8/3/1936,New Brunswick,Local,Unknown,9/3/1961,New Brunswick,Previously banded bird trapped and released during banding operations,Unknown/Unknown
Herring Gull,18 years 00 months,7/4/1948,Michigan,Local,Unknown,6/20/1966,Michigan,Found dead.,Dead/Removed
Herring Gull,15 years 02 months,6/14/1963,Rhode Island,Local,Unknown,8/19/1978,Connecticut,Caught by hand.,Alive - Released/Removed
Herring Gull,14 years 05 months,7/6/1963,Michigan,Local,Unknown,11/43/1977,Ontario,Found dead.,Dead/Removed
Iceland Gull,4 years 08 months,1/19/2013,Newfoundland and Labrador and St. Pierre et Miquelon,After Third Year,Unknown,2/20/2015,Newfoundland and Labrador and St. Pierre et Miquelon,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Lesser Black-backed Gull,9 years 03 months,6/10/2008,Maine,After Third Year,Male,9/15/2014,South Carolina,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Lesser Black-backed Gull,6 years 08 months,6/10/2008,Maine,After Third Year,Male,2/10/2012,Florida,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Glaucous-winged Gull,23 years 10 months,8/10/1977,British Columbia,Local,Unknown,4/13/2001,Washington,"Caught or found dead due to: control operations (roost bombing, gassing, avicides, wetting agents, etc.)",Dead/Removed
Glaucous-winged Gull,23 years 07 months,7/20/1973,British Columbia,Local,Unknown,1/27/1997,British Columbia,"Caught due to striking: radio, TV, high tension, etc. wires or towers, or ceilometers.",Dead/Removed
Glaucous-winged Gull,22 years 10 months,7/21/1969,British Columbia,Local,Unknown,4/15/1992,British Columbia,Sight record: band read by telescope or other means while bird was free.,Alive - Released/Left On Bird
Glaucous-winged Gull,22 years 10 months,6/11/1971,British Columbia,After Third Year,Unknown,4/20/1991,British Columbia,Found dead.,Dead/Removed
Glaucous-winged Gull,22 years 09 months,7/23/1961,Washington,Local,Unknown,3/28/1984,Washington,Found dead.,Dead/Removed
Glaucous-winged Gull,19 years 09 months,7/28/1959,British Columbia,Local,Unknown,3/22/1979,Oregon,Found dead.,Dead/Removed
Glaucous-winged Gull,18 years 04 months,7/22/1962,Washington,Local,Unknown,10/26/1980,Washington,Found dead.,Dead/Removed
Glaucous-winged Gull,16 years 03 months,7/21/1962,British Columbia,Local,Unknown,9/23/1978,British Columbia,Found dead.,Dead/Removed
Glaucous Gull,9 years 01 months,8/10/1994,Nunavut,Hatching Year,Unknown,7/1/2003,Nunavut,Sight record: band read by telescope or other means while bird was free.,Alive - Released/Left On Bird
Great Black-backed Gull,26 years 09 months,7/13/1968,Massachusetts,After Hatching Year,Unknown,3/18/1994,New Jersey,Sight record: band read by telescope or other means while bird was free.,Alive - Released/Left On Bird
Great Black-backed Gull,25 years 05 months,7/13/1968,Massachusetts,After Hatching Year,Unknown,11/14/1992,New Jersey,Sight record: band read by telescope or other means while bird was free.,Alive - Released/Left On Bird
Great Black-backed Gull,23 years 03 months,7/6/1952,Québec,Local,Unknown,9/26/1975,Ontario,Caught due to striking or being struck by: motor vehicle.,Dead/Removed
Southern Black-backed Gull,15 years 03 months,7/17/1962,Argentina,Hatching Year,Unknown,9/15/1977,Antarctica,Found dead.,Dead/Removed
Brown Noddy,34 years 10 months,8/23/1981,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,4/15/2016,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Sight record: band read by telescope or other means while bird was free.,Alive - Released/Left On Bird
Brown Noddy,25 years 10 months,7/22/1988,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,4/14/2014,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by or due to: traps or snares OTHER THAN devices used to catch birds for banding.,Dead/Removed
Brown Noddy,24 years 11 months,6/12/1947,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,5/23/1972,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Brown Noddy,18 years 06 months,7/31/1965,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,12/16/1983,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Shot.,Dead/Removed
Black Noddy,25 years 03 months,10/22/1966,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,9/19/1990,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Blue-gray Noddy,14 years 00 months,7/30/1966,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Unknown,Unknown,6/11/1980,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
White Tern,29 years 09 months,9/17/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,3/10/1993,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
White Tern,27 years 04 months,9/18/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,10/16/1990,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
White Tern,27 years 03 months,9/18/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,9/11/1990,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
White Tern,26 years 05 months,2/12/1963,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,11/12/1988,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
White Tern,15 years 11 months,9/18/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,5/10/1979,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Sooty Tern,35 years 09 months,11/5/1975,Africa,Local,Unknown,3/29/2011,Africa,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Sooty Tern,33 years 10 months,8/23/1965,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,4/5/1998,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Sooty Tern,31 years 08 months,8/7/1963,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,2/17/1994,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Found dead.,Dead/Removed
Sooty Tern,22 years 00 months,8/21/1937,Florida,Local,Unknown,06/42/1959,Florida,Previously banded bird trapped and released during banding operations,Unknown/Unknown
Sooty Tern,14 years 02 months,4/30/1965,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,8/3/1978,Asia,Found dead.,Dead/Removed
Gray-backed Tern,25 years 09 months,6/16/1967,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,3/1/1993,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught due to: injury,Dead/Removed
Gray-backed Tern,18 years 00 months,3/6/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,6/26/1981,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Gray-backed Tern,16 years 02 months,6/20/1963,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,8/25/1978,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Gray-backed Tern,13 years 10 months,8/9/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,4/16/1977,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Found dead.,Dead/Removed
Gray-backed Tern,10 years 07 months,6/18/1963,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,1/8/1973,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Found dead.,Dead/Removed
Least Tern,24 years 01 months,7/5/1957,Massachusetts,Local,Unknown,7/8/1981,New Jersey,Caught by or due to: miscellaneous animal.,Dead/Unknown
Least Tern,20 years 00 months,6/14/1960,New Jersey,Local,Unknown,6/14/1980,Delaware,Found dead.,Dead/Removed
Gull-billed Tern,20 years 00 months,5/29/1993,California,Local,Unknown,5/17/2013,California,Found dead.,Dead/Left On Bird
Gull-billed Tern,15 years 00 months,5/29/1993,California,Local,Unknown,5/19/2008,California,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Gull-billed Tern,13 years 11 months,6/1/1975,Florida,Local,Unknown,5/21/1989,South Carolina,Found dead.,Dead/Removed
Gull-billed Tern,6 years 04 months,6/8/1969,South Carolina,Local,Unknown,10/23/1975,"French Guiana, Guyana and Surinam",Caught by or due to: traps or snares OTHER THAN devices used to catch birds for banding.,Alive - In Captivity/Left On Bird
Caspian Tern,29 years 07 months,7/3/1959,Michigan,Local,Unknown,1/26/1989,Louisiana,Found dead.,Dead/Unknown
Caspian Tern,26 years 02 months,7/19/1925,Michigan,Juvenile,Unknown,8/9/1951,Ohio,Collected as Scientific Specimen or captured for a Scientific Study. (NOT FOR BANDING),Dead/Unknown
Caspian Tern,16 years 00 months,6/25/1961,Ontario,Local,Unknown,6/7/1977,Michigan,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Caspian Tern,11 years 10 months,6/22/1966,Ontario,Local,Unknown,4/16/1978,Ohio,Shot.,Dead/Removed
Black Tern,10 years 03 months,6/3/2004,Wisconsin,After Second Year,Unknown,9/2/2012,Louisiana,"Caught or found dead due to: control operations (roost bombing, gassing, avicides, wetting agents, etc.)",Dead/Removed
Black Tern,9 years 00 months,7/6/2002,Wisconsin,Local,"Female, sexed upon recapture",6/4/2011,Wisconsin,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Black Tern,8 years 05 months,6/23/1970,Minnesota,After Second Year,Unknown,11/24/1976,El Salvador,Found dead.,Dead/Removed
Roseate Tern,25 years 08 months,7/20/1971,Massachusetts,Local,Unknown,2/8/1997,Brazil,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Roseate Tern,21 years 00 months,7/4/1968,New York,After Second Year,Unknown,6/19/1989,Massachusetts,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Roseate Tern,19 years 00 months,7/3/1973,New York,Local,Unknown,6/29/1992,New York,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Roseate Tern,16 years 01 months,7/11/1975,New York,After Second Year,Unknown,7/3/1991,New York,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Roseate Tern,15 years 00 months,6/9/1978,Connecticut,After Second Year,Unknown,6/23/1991,New York,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Roseate Tern,14 years 00 months,6/24/1968,New York,After Second Year,Unknown,6/11/1980,New York,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Roseate Tern,13 years 01 months,7/20/1969,New York,After Second Year,Unknown,7/16/1982,Connecticut,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Roseate Tern,13 years 00 months,7/25/1972,New York,After Second Year,Unknown,6/20/1983,Connecticut,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Roseate Tern,12 years 01 months,6/25/1979,Connecticut,Local,Unknown,7/3/1991,New York,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Roseate Tern,12 years 01 months,8/5/1968,Massachusetts,Local,Unknown,7/25/1980,New York,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Roseate Tern,12 years 00 months,7/3/1967,New York,Local,Unknown,6/16/1979,New York,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Common Tern,25 years 01 months,6/9/1984,New York,Local,Unknown,7/8/2009,New York,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Common Tern,25 years 00 months,7/12/1970,New York,Local,Unknown,6/20/1995,Massachusetts,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Arctic Tern,34 years 00 months,7/24/1936,Maine,Local,Unknown,6/19/1970,Maine,Caught or observed at or in nest.,Alive - Released/Removed
Forster's Tern,15 years 10 months,6/19/1973,California,Local,Unknown,4/5/1989,California,Caught or found dead due to: oil or tar,Dead/Left On Bird
Forster's Tern,12 years 00 months,6/12/1972,California,Local,Unknown,6/19/1984,California,Caught or found dead due to disease: botulism,Dead/Removed
Forster's Tern,11 years 01 months,6/12/1972,California,Local,Unknown,7/12/1983,California,Collected as Scientific Specimen or captured for a Scientific Study. (NOT FOR BANDING),Dead/Unknown
Royal Tern,30 years 11 months,6/24/1985,North Carolina,Local,Unknown,5/9/2016,Florida,Found dead.,Dead/Left On Bird
Royal Tern,30 years 06 months,7/2/1983,North Carolina,Local,Unknown,12/10/2013,Belize,Caught due to: injury,Dead/Removed
Royal Tern,28 years 11 months,6/24/1984,North Carolina,Local,Unknown,5/7/2013,North Carolina,Found dead.,Dead/Removed
Royal Tern,28 years 00 months,6/24/1983,North Carolina,Local,Unknown,6/8/2011,North Carolina,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Royal Tern,27 years 05 months,6/14/1975,South Carolina,Local,Unknown,11/4/2002,Florida,Sight record: band read by telescope or other means while bird was free.,Alive - Released/Left On Bird
Royal Tern,24 years 03 months,6/15/1979,North Carolina,After Third Year,Unknown,9/25/2000,Florida,Caught by hand.,Dead/Removed
Royal Tern,24 years 00 months,6/1/1978,North Carolina,After Third Year,Unknown,6/7/1999,North Carolina,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Royal Tern,23 years 11 months,7/29/1972,Virginia,Local,Unknown,5/17/1996,Florida,Found dead.,Dead/Removed
Royal Tern,22 years 11 months,8/4/1979,Virginia,Local,Unknown,5/27/2002,Maryland,Found dead.,Dead/Left On Bird
Royal Tern,22 years 02 months,7/4/1965,North Carolina,Local,Unknown,8/22/1987,Georgia,Caught by hand.,Dead/Unknown
Royal Tern,21 years 08 months,7/16/1967,South Carolina,Local,Unknown,2/2/1989,Florida,Found dead.,Dead/Removed
Royal Tern,18 years 00 months,7/9/1965,Virginia,Local,Unknown,6/12/1983,Virginia,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Royal Tern,17 years 02 months,6/28/1965,Virginia,Local,Unknown,8/17/1982,Virginia,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Royal Tern,17 years 00 months,6/29/1960,North Carolina,Local,Unknown,6/3/1977,Virginia,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Royal Tern,17 years 00 months,6/26/1957,Maryland,Local,Unknown,6/13/1974,Virginia,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Royal Tern,14 years 11 months,6/22/1958,Virginia,Local,Unknown,5/3/1973,South Carolina,Found dead.,Dead/Removed
Royal Tern,13 years 08 months,8/19/1964,South Carolina,Local,Unknown,2/11/1978,Florida,Caught by or due to: entanglement in fishing gear,Alive - Released/Left On Bird
Royal Tern,12 years 08 months,6/28/1965,Virginia,Local,Unknown,2/15/1978,Florida,Found dead.,Dead/Removed
Sandwich Tern,27 years 10 months,6/28/1988,North Carolina,Local,Unknown,4/19/2016,Florida,Killed or caught by a predator other than a cat,Alive - Released/Left On Bird
Sandwich Tern,24 years 02 months,7/3/1987,North Carolina,Local,Unknown,8/28/2011,North Carolina,Found dead.,Dead/Removed
Sandwich Tern,22 years 01 months,7/3/1983,North Carolina,Local,Unknown,7/23/2005,North Carolina,Caught due to: injury,Dead/Removed
Sandwich Tern,21 years 01 months,6/24/1984,North Carolina,Local,Unknown,7/20/2005,North Carolina,Caught due to: injury,Dead/Left On Bird
Sandwich Tern,20 years 02 months,7/29/1973,Virginia,Local,Unknown,8/18/1993,North Carolina,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Sandwich Tern,16 years 02 months,6/24/1977,North Carolina,Local,Unknown,08/99/1993,Massachusetts,Found dead.,Dead/Left On Bird
Sandwich Tern,16 years 01 months,6/26/1963,Louisiana,Local,Unknown,7/29/1979,Alabama,Caught by or due to: entanglement in fishing gear,Alive - Released/Removed
Elegant Tern,20 years 11 months,7/15/1989,California,Local,Unknown,5/5/2010,California,Found dead.,Dead/Removed
Elegant Tern,16 years 00 months,6/24/1991,Mexico,Local,Unknown,6/2/2007,California,Found dead.,Dead/Left On Bird
Elegant Tern,10 years 10 months,6/2/1990,California,Local,Unknown,4/18/2001,California,Caught by or due to: entanglement in fishing gear,Dead/Unknown
Elegant Tern,9 years 01 months,7/15/1989,California,Local,Unknown,7/3/1998,California,Found dead.,Dead/Removed
Elegant Tern,9 years 00 months,5/28/1960,California,Local,Unknown,5/19/1969,California,Caught by hand.,Alive - Released/Left On Bird
Black Skimmer,23 years 1 months,7/20/1990,California,Local,Unknown,7/19/2013,California,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Black Skimmer,20 years 03 months,8/8/1988,New Jersey,Local,Unknown,9/29/2008,New Jersey,Sight record: band read by telescope or other means while bird was free.,Alive - Released/Left On Bird
Black Skimmer,20 years 00 months,8/13/1958,Georgia,Local,Unknown,6/28/1978,Florida,Collected as Scientific Specimen or captured for a Scientific Study. (NOT FOR BANDING),Alive - In Captivity/Removed
Black Skimmer,15 years 08 months,6/27/1962,New York,Local,Unknown,2/24/1978,North Carolina,Found dead or injured on highway.,Dead/Removed
Black Skimmer,14 years 07 months,6/30/1956,South Carolina,Local,Unknown,1/2/1971,Florida,Sight record: band read by telescope or other means while bird was free.,Alive - Released/Left On Bird
Black Skimmer,13 years 08 months,7/2/1964,North Carolina,Local,Unknown,2/26/1978,Florida,Found dead.,Dead/Unknown
White-crowned Pigeon,14 years 05 months,09/99/1972,Dominican Republic and Haiti,Local,Unknown,11/99/1986,Dominican Republic and Haiti,Shot.,Dead/Unknown
White-crowned Pigeon,12 years 02 months,6/23/1942,Lesser Antilles,Local,Unknown,8/16/1954,Lesser Antilles,Shot.,Dead/Unknown
Band-tailed Pigeon,18 years 06 months,5/7/1968,Washington,After Hatching Year,Unknown,12/20/1985,Washington,Found dead.,Dead/Removed
Band-tailed Pigeon,15 years 06 months,6/5/1967,Washington,After Hatching Year,Unknown,12/28/1981,California,Shot.,Dead/Unknown
Eurasian Collared-Dove,9 years 03 months,8/10/2002,South Carolina,Hatching Year,Unknown,9/23/2011,South Carolina,Caught by or due to: cat,Dead/Removed
Eurasian Collared-Dove,5 years 02 months,7/25/2002,South Carolina,After Hatching Year,Unknown,8/26/2006,South Carolina,Found dead.,Dead/Left On Bird
Spotted Dove,7 years 08 months,6/7/1937,California,After Hatching Year,Unknown,2/28/1944,California,Found dead.,Dead/Unknown
Inca Dove,10 years 10 months,3/10/1979,Texas,After Hatching Year,Unknown,4/5/1989,Texas,Caught by or due to: cat,Dead/Removed
Inca Dove,7 years 09 months,11/3/1939,Arizona,After Hatching Year,Unknown,3/5/1946,Arizona,Previously banded bird trapped and released during banding operations,Unknown/Unknown
Common Ground-Dove,7 years 02 months,4/13/1979,Texas,After Hatching Year,Female,8/14/1985,Mexico,Shot.,Dead/Unknown
Common Ground-Dove,6 years 01 months,8/21/1960,Florida,After Hatching Year,Unknown,7/22/1965,Florida,Found dead.,Dead/Unknown
White-tipped Dove,9 years 01 months,6/3/2008,Texas,After Hatching Year,Unknown,7/1/2016,Texas,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
White-tipped Dove,8 years 07 months,2/27/1963,Texas,After Hatching Year,Unknown,1/11/1971,Texas,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
White-winged Dove,21 years 09 months,8/8/1958,Arizona,Hatching Year,Unknown,3/10/1980,Mexico,Shot.,Dead/Removed
White-winged Dove,17 years 08 months,5/7/1961,Texas,After Hatching Year,Unknown,2/1/1978,El Salvador,Shot.,Dead/Removed
White-winged Dove,16 years 10 months,5/11/1965,Texas,After Hatching Year,Unknown,4/3/1981,Mexico,Shot.,Dead/Removed
White-winged Dove,15 years 05 months,7/7/1965,Arizona,After Hatching Year,Female,12/99/1979,Mexico,Shot.,Dead/Removed
White-winged Dove,11 years 09 months,6/29/1967,Mexico,After Hatching Year,Unknown,3/6/1978,Guatemala,Shot.,Dead/Removed
Zenaida Dove,6 years 04 months,11/27/1991,Puerto Rico,After Hatching Year,Unknown,10/20/1996,Puerto Rico,Shot.,Dead/Removed
Mourning Dove,30 years 04 months,6/20/1968,Georgia,Unknown,Male,10/7/1998,Florida,Shot.,Dead/Unknown
Mourning Dove,27 years 03 months,8/9/1969,California,Hatching Year,Unknown,9/1/1996,California,Shot.,Dead/Removed
Mourning Dove,19 years 04 months,6/15/1958,Colorado,Hatching Year,Unknown,10/25/1977,Guatemala,Shot.,Dead/Removed
Mourning Dove,16 years 04 months,8/21/1951,Louisiana,Hatching Year,Unknown,10/14/1967,Mexico,Shot.,Dead/Removed
Mourning Dove,13 years 06 months,2/24/1967,Georgia,After Hatching Year,Female,12/30/1979,Georgia,Shot.,Dead/Removed
Mourning Dove,12 years 01 months,1/14/1970,Ohio,After Hatching Year,Female,7/4/1981,Ohio,Found dead.,Dead/Removed
Mourning Dove,10 years 04 months,9/15/1968,Minnesota,Hatching Year,Unknown,10/15/1978,Mexico,Shot.,Dead/Removed
Mourning Dove,9 years 03 months,6/8/1970,Texas,After Hatching Year,Male,9/4/1978,Texas,Shot.,Dead/Removed
Yellow-billed Cuckoo,5 years 00 months,6/14/1960,Florida,After Hatching Year,Unknown,6/23/1964,Tennessee,Caught due to striking or being struck by: motor vehicle.,Dead/Unknown
Black-billed Cuckoo,4 years 00 months,6/10/1965,Ontario,Unknown,Unknown,6/14/1969,Connecticut,Found dead.,Dead/Removed
Puerto Rican Lizard-Cuckoo,8 years 00 months,1/8/2003,Puerto Rico,Second Year,Unknown,6/5/2010,Puerto Rico,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Puerto Rican Lizard-Cuckoo,7 years 07 months,1/12/1994,Puerto Rico,After Hatching Year,Unknown,1/8/2001,Puerto Rico,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Greater Roadrunner,3 years 09 months,5/7/1979,Arizona,After Hatching Year,Male,3/7/1982,Arizona,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Barn Owl,15 years 05 months,6/6/1961,Ohio,Local,Unknown,11/3/1976,Ohio,Shot.,Dead/Removed
Barn Owl,12 years 10 months,6/13/1977,California,Hatching Year,Unknown,4/13/1990,California,Found dead or injured on highway.,Unknown/Removed
Barn Owl,12 years 05 months,5/13/1976,New Jersey,Local,Unknown,10/14/1988,Ohio,Found dead.,Dead/Left On Bird
Flammulated Owl,7 years 01 months,7/15/1981,Colorado,Local,Unknown,7/10/1988,Colorado,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Western Screech-Owl,13 years 00 months,5/28/1926,California,Juvenile,Unknown,5/5/1939,California,Found dead.,Dead/Unknown
Western Screech-Owl,12 years 05 months,5/18/1924,California,Unknown,Unknown,10/12/1936,California,Caught due to striking or being struck by: motor vehicle.,Dead/Unknown
Eastern Screech-Owl,14 years 06 months,11/20/1955,Ontario,After Hatching Year,Unknown,12/15/1968,Ontario,"Caught by or due to: hawks, owls, or other raptors.",Dead/Unknown
Great Horned Owl,28 years 00 months,3/19/1977,Ohio,Local,Unknown,3/24/2005,Ohio,Caught due to: injury,Alive - In Captivity/Removed
Great Horned Owl,27 years 07 months,12/20/1964,Manitoba,Unknown,Unknown,1/6/1992,Manitoba,Caught due to: injury,Dead/Removed
Great Horned Owl,23 years 06 months,4/28/1965,New York,Local,Unknown,10/24/1988,New York,Found dead.,Dead/Removed
Great Horned Owl,20 years 08 months,5/20/1967,Saskatchewan,Local,Unknown,1/18/1988,Saskatchewan,Found dead.,Dead/Removed
